image_name,image_index,accuracy
im0.png,0,0.9998482730653551
im1.png,1,0.999904453754425
im2.png,2,0.9989451699786716
im3.png,3,0.584459102816052
im4.png,4,0.9999567998780144
im5.png,5,0.999713208940294
im6.png,6,0.9999156064457364
im7.png,7,0.9999126394589742
im8.png,8,0.9999398986498514
im9.png,9,0.9998161196708679
im10.png,10,0.999798940287696
im11.png,11,0.9954080515437655
im12.png,12,0.9999082485834757
im13.png,13,0.9994956254959106
im14.png,14,0.9951946006880866
im15.png,15,0.9995279179679023
im16.png,16,0.999902089436849
im17.png,17,0.9997320373853048
im18.png,18,0.9999560316403707
im19.png,19,0.999375409550137
im20.png,20,0.9998486108250089
im21.png,21,0.9998541076978048
im22.png,22,0.9993228117624918
im23.png,23,0.9972320000330607
im24.png,24,0.9998133712344699
im25.png,25,0.9994039270612929
im26.png,26,0.9996353851424323
im27.png,27,0.9996242986785041
im28.png,28,0.9999258716901144
im29.png,29,0.9997718334197998
im30.png,30,0.9991103543175591
im31.png,31,0.9997940195931329
im32.png,32,0.9999246862199571
im33.png,33,0.9998708301120334
im34.png,34,0.9998747309048971
im35.png,35,0.9989532497194078
im36.png,36,0.9995933837360806
im37.png,37,0.9997380574544271
im38.png,38,0.9977554347780015
im39.png,39,0.9998587634828355
im40.png,40,0.9915972484482659
im41.png,41,0.9970786306593153
im42.png,42,0.9821239511171976
im43.png,43,0.9903190467092726
im44.png,44,0.9149005346828036
im45.png,45,0.981737905078464
im46.png,46,0.9992066688007779
im47.png,47,0.927723573313819
im48.png,48,0.8584223571750853
im49.png,49,0.991539392206404
im50.png,50,0.9987436599201627
im51.png,51,0.9886975420845879
im52.png,52,0.9990404645601908
im53.png,53,0.9817047913869222
im54.png,54,0.9968443181779649
im55.png,55,0.9965072737799751
im56.png,56,0.9999631312158372
im57.png,57,0.9989366134007772
im58.png,58,0.9916784630881416
im59.png,59,0.8608316845364041
im60.png,60,0.9699283838272095
im61.png,61,0.9994576904508803
im62.png,62,0.9501153031984965
im63.png,63,0.9991572565502591
im64.png,64,0.765282928943634
im65.png,65,0.9597196578979492
im66.png,66,0.9811245070563422
im67.png,67,0.9860701958338419
im68.png,68,0.9988025824228922
im69.png,69,0.7066030071841346
im70.png,70,0.9981693426767985
im71.png,71,0.9995488060845269
im72.png,72,0.9920268919732835
im73.png,73,0.9863993856641982
im74.png,74,0.9885330067740546
im75.png,75,0.9982353581322564
im76.png,76,0.9907285107506646
im77.png,77,0.9824975331624349
im78.png,78,0.9662406908141242
im79.png,79,0.9916937086317275
im80.png,80,0.9996317095226712
im81.png,81,0.9998814066251119
im82.png,82,0.9930018451478746
im83.png,83,0.9659903844197592
im84.png,84,0.9912858075565762
im85.png,85,0.9953033460511101
im86.png,86,0.99207646979226
im87.png,87,0.9949416783120897
im88.png,88,0.9484370152155558
im89.png,89,0.9771438307232327
im90.png,90,0.9526581366856893
im91.png,91,0.9989934961001078
im92.png,92,0.9620539678467644
im93.png,93,0.9981802569495307
im94.png,94,0.9981445868810018
im95.png,95,0.9992361664772034
im96.png,96,0.9967086911201477
im97.png,97,0.9996902810202705
im98.png,98,0.9867120120260451
im99.png,99,0.9742790261904398
im100.png,100,0.8830950127707587
im101.png,101,0.99248692062166
im102.png,102,0.9229959183269076
im103.png,103,0.9841545555326674
im104.png,104,0.9950025810135735
im105.png,105,0.9973400831222534
im106.png,106,0.9988057017326355
im107.png,107,0.6635236872567071
im108.png,108,0.9961408972740173
im109.png,109,0.9941304590966966
im110.png,110,0.9909101525942484
im111.png,111,0.9908596674601237
im112.png,112,0.9880481296115451
im113.png,113,0.9689223435189989
im114.png,114,0.7703790366649628
im115.png,115,0.5138734736699715
im116.png,116,0.8830949796570672
im117.png,117,0.9950025876363119
im118.png,118,0.9993610779444376
im119.png,119,0.9897966782251993
im120.png,120,0.9226703577571445
im121.png,121,0.8492209646436903
im122.png,122,0.8712144626511468
im123.png,123,0.9891762336095175
im124.png,124,0.863962187535233
im125.png,125,0.7460643678075738
im126.png,126,0.9933322138256497
im127.png,127,0.9008937941657172
im128.png,128,0.9811510509914823
im129.png,129,0.9891670478714837
im130.png,130,0.8831018408139547
im131.png,131,0.9509863257408142
im132.png,132,0.7096549719572067
im133.png,133,0.6489272436334027
im134.png,134,0.9998551739586724
im135.png,135,0.9999676479233636
im136.png,136,0.9999531706174215
im137.png,137,0.9999714493751526
im138.png,138,0.999890473153856
im139.png,139,0.9347438679801093
im140.png,140,0.9999624027146233
im141.png,141,0.9996749560038248
im142.png,142,0.9993345605002509
im143.png,143,0.9999689923392402
im144.png,144,0.9984633061620924
im145.png,145,0.9999302956793044
im146.png,146,0.9997387727101644
im147.png,147,0.9993740320205688
im148.png,148,0.9999651908874512
im149.png,149,0.8947866261005402
im150.png,150,0.9999781449635824
im151.png,151,0.9999628199471368
im152.png,152,0.9998561607466804
im153.png,153,0.9996183580822415
im154.png,154,0.9992724061012268
im155.png,155,0.9113117323981391
im156.png,156,0.7142533395025465
im157.png,157,0.9997954103681777
im158.png,158,0.9998888307147555
im159.png,159,0.9895350866847568
im160.png,160,0.9999440378612943
im161.png,161,0.985832691192627
im162.png,162,0.919479661517673
im163.png,163,0.989861786365509
im164.png,164,0.8385460312581725
im165.png,165,0.923644546005461
im166.png,166,0.8179290145635605
im167.png,167,0.5571879727972878
im168.png,168,0.8762353625562456
im169.png,169,0.9836313062243991
im170.png,170,0.9999794165293375
im171.png,171,0.9998707241482205
im172.png,172,0.997376455201043
im173.png,173,0.9998049868477715
im174.png,174,0.9538249108526442
im175.png,175,0.9953378240267435
im176.png,176,0.999432020717197
im177.png,177,0.9985173145929972
im178.png,178,0.9909788502587212
im179.png,179,0.9925295379426744
im180.png,180,0.999838239616818
im181.png,181,0.9998606642087301
im182.png,182,0.9998884929551018
im183.png,183,0.9998598761028714
im184.png,184,0.9998336699273851
im185.png,185,0.9998206496238708
im186.png,186,0.9997991389698453
im187.png,187,0.9998701810836792
im188.png,188,0.9995876087082757
im189.png,189,0.9995337790913053
im190.png,190,0.9997906022601657
im191.png,191,0.9998196628358629
im192.png,192,0.9997802244292365
im193.png,193,0.9999102287822299
im194.png,194,0.9997881187333001
im195.png,195,0.9997019039260017
im196.png,196,0.9998920427428352
im197.png,197,0.9997668398751153
im198.png,198,0.9998363256454468
im199.png,199,0.9998219013214111
