image_name,image_index,score
im0.jpg,0,3.330623149871826
im1.jpg,1,3.330301284790039
im2.jpg,2,3.327113389968872
im3.jpg,3,3.3316690921783447
im4.jpg,4,3.33061146736145
im5.jpg,5,3.3286938667297363
im6.jpg,6,3.3309378623962402
im7.jpg,7,3.331747055053711
im8.jpg,8,3.3285131454467773
im9.jpg,9,3.3305859565734863
im10.jpg,10,3.335113763809204
im11.jpg,11,3.3282723426818848
im12.jpg,12,3.3307883739471436
im13.jpg,13,3.331519603729248
im14.jpg,14,3.327558994293213
im15.jpg,15,3.3310954570770264
im16.jpg,16,3.3302066326141357
im17.jpg,17,3.330899953842163
im18.jpg,18,3.3310964107513428
im19.jpg,19,3.3307182788848877
