image_name,image_index,score
im6.png,6,0.7893006205558777
im20.png,20,0.7816102504730225
im22.png,22,0.8423239588737488
im26.png,26,0.726672351360321
im31.png,31,0.7487965822219849
im32.png,32,0.7613751292228699
im35.png,35,0.7872365117073059
im40.png,40,0.7166495323181152
im41.png,41,0.8127261400222778
im47.png,47,0.8631742596626282
im60.png,60,0.8028026223182678
im66.png,66,0.8007165789604187
im82.png,82,0.7472903728485107
im94.png,94,0.7538197040557861
im96.png,96,0.7469080686569214
im98.png,98,0.8131334781646729
im115.png,115,0.6675137281417847
im120.png,120,0.6498331427574158
im122.png,122,0.7680155038833618
im123.png,123,0.7481957077980042
im128.png,128,0.7134475708007812
im146.png,146,0.7135767340660095
im152.png,152,0.795312762260437
im153.png,153,0.6584227085113525
im158.png,158,0.6832494735717773
im161.png,161,0.734481155872345
im163.png,163,0.9032710790634155
im179.png,179,0.7419729232788086
