image_name,image_index,accuracy
im0.png,0,0.99162224928538
im2.png,2,0.6394425476383832
im24.png,24,0.9996529287762113
im31.png,31,0.8530791219737794
im41.png,41,0.9972515967157152
im44.png,44,0.877242059343391
im54.png,54,0.9984921283192105
im63.png,63,0.9294819434483846
im81.png,81,0.9893950091467963
im87.png,87,0.7825899190372891
im101.png,101,0.9937379426426358
im120.png,120,0.9979149632983737
im130.png,130,0.8086249430974325
im140.png,140,0.9986798101001315
im142.png,142,0.9091455539067587
im173.png,173,0.9999808669090271
