source_file,subject_id,rt,stimulus_image,image_idx,response,correct_choice,choices,correct
obj_2afc_190744.csv,190744,407.400000095367,../../images/project_obj_2AFC/im1.png,1,1,0,"[9,0]",True
obj_2afc_190744.csv,190744,1059.70000004768,../../images/project_obj_2AFC/im16.png,16,0,1,"[1,0]",True
obj_2afc_190744.csv,190744,798.599999904633,../../images/project_obj_2AFC/im0.png,0,1,0,"[9,0]",True
obj_2afc_190744.csv,190744,579.600000143051,../../images/project_obj_2AFC/im15.png,15,1,1,"[9,1]",True
obj_2afc_190744.csv,190744,685.200000047684,../../images/project_obj_2AFC/im5.png,5,0,0,"[0,2]",True
obj_2afc_190744.csv,190744,905.200000047684,../../images/project_obj_2AFC/im11.png,11,0,1,"[1,0]",True
obj_2afc_190744.csv,190744,677,../../images/project_obj_2AFC/im9.png,9,1,0,"[3,0]",True
obj_2afc_190744.csv,190744,424.399999856949,../../images/project_obj_2AFC/im8.png,8,1,0,"[2,0]",True
obj_2afc_190744.csv,190744,798.799999952316,../../images/project_obj_2AFC/im12.png,12,0,1,"[1,7]",True
obj_2afc_190744.csv,190744,679.400000095367,../../images/project_obj_2AFC/im43.png,43,0,4,"[4,2]",True
obj_2afc_190744.csv,190744,575.900000095367,../../images/project_obj_2AFC/im37.png,37,1,3,"[0,3]",True
obj_2afc_679091.csv,679091,754.799999952316,../../images/project_obj_2AFC/im39.png,39,1,3,"[1,3]",True
obj_2afc_679091.csv,679091,878.900000095367,../../images/project_obj_2AFC/im41.png,41,0,4,"[4,0]",True
obj_2afc_679091.csv,679091,636.800000190735,../../images/project_obj_2AFC/im2.png,2,1,0,"[7,0]",True
obj_2afc_679091.csv,679091,806,../../images/project_obj_2AFC/im48.png,48,1,4,"[3,4]",True
obj_2afc_679091.csv,679091,859.700000047684,../../images/project_obj_2AFC/im50.png,50,0,7,"[7,1]",True
obj_2afc_679091.csv,679091,1466.5,../../images/project_obj_2AFC/im44.png,44,1,4,"[0,4]",True
obj_2afc_679091.csv,679091,943.299999952316,../../images/project_obj_2AFC/im33.png,33,0,3,"[3,7]",True
obj_2afc_679091.csv,679091,926.700000047684,../../images/project_obj_2AFC/im35.png,35,1,3,"[0,3]",True
obj_2afc_679091.csv,679091,651.599999904633,../../images/project_obj_2AFC/im40.png,40,1,4,"[2,4]",True
obj_2afc_679091.csv,679091,586.400000095367,../../images/project_obj_2AFC/im27.png,27,1,2,"[1,2]",True
obj_2afc_679091.csv,679091,435.900000095367,../../images/project_obj_2AFC/im24.png,24,1,2,"[0,2]",True
obj_2afc_679091.csv,679091,971.599999904633,../../images/project_obj_2AFC/im53.png,53,0,7,"[7,0]",True
obj_2afc_679091.csv,679091,1699.30000019073,../../images/project_obj_2AFC/im46.png,46,0,4,"[9,4]",False
obj_2afc_679091.csv,679091,849,../../images/project_obj_2AFC/im3.png,3,1,0,"[7,0]",True
obj_2afc_679091.csv,679091,658.200000047684,../../images/project_obj_2AFC/im26.png,26,1,2,"[7,2]",True
obj_2afc_679091.csv,679091,953.400000095367,../../images/project_obj_2AFC/im36.png,36,0,3,"[3,9]",True
