source_file,subject_id,trial_index,time_elapsed,rt,stimulus,image_idx,occurrence,is_repeat,repeat_lag,response,correct_response,correct,correct_at_second_occurrence
n_back_313870.csv,313870,97,113086,732.0999999940395,../../images/project_n_back/im4.png,4,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,99,114435,847.0,../../images/project_n_back/im14.png,14,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,101,115919,980.4000000059604,../../images/project_n_back/im29.png,29,1,False,0,1.0,0.0,False,
n_back_313870.csv,313870,103,117335,912.7999999970198,../../images/project_n_back/im28.png,28,1,False,0,1.0,0.0,False,
n_back_313870.csv,313870,105,118719,880.5999999940395,../../images/project_n_back/im54.png,54,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,107,120586,1363.699999988079,../../images/project_n_back/im22.png,22,2,True,10,0.0,1.0,False,False
n_back_313870.csv,313870,109,122019,931.0,../../images/project_n_back/im51.png,51,2,True,10,1.0,1.0,True,True
n_back_313870.csv,313870,111,123736,1213.0999999940395,../../images/project_n_back/im30.png,30,2,True,10,0.0,1.0,False,False
n_back_313870.csv,313870,113,125185,946.7000000029802,../../images/project_n_back/im58.png,58,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,115,127102,1414.0,../../images/project_n_back/im18.png,18,1,False,0,1.0,0.0,False,
n_back_313870.csv,313870,117,128786,1181.2999999970198,../../images/project_n_back/im59.png,59,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,119,130102,813.6999999880791,../../images/project_n_back/im20.png,20,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,121,131702,1096.5999999940395,../../images/project_n_back/im25.png,25,1,False,0,1.0,0.0,False,
n_back_313870.csv,313870,123,133135,930.2000000029802,../../images/project_n_back/im6.png,6,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,125,134485,847.2000000029802,../../images/project_n_back/im45.png,45,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,127,135685,696.5,../../images/project_n_back/im7.png,7,1,False,0,0.0,0.0,True,
n_back_313870.csv,313870,129,137785,1597.699999988079,../../images/project_n_back/im57.png,57,1,False,0,1.0,0.0,False,
