subject_id,reactionTime,choices_1,choices_2,correct,image_idx
357030,653.5,8,9,1,199
357030,640.20000000298,4,3,1,87
357030,512.5,7,9,1,180
357030,744.20000000298,2,8,1,44
357030,582.59999999404,7,5,1,144
357030,607.20000000298,2,5,1,101
357030,565.100000008941,0,8,1,8
357030,701.199999988079,2,5,1,102
357030,535.70000000298,9,5,1,103
357030,789.79999999702,3,6,1,122
357030,744.59999999404,5,9,1,105
357030,617.399999991059,9,5,1,191
357030,601.20000000298,8,6,1,161
357030,567.29999999702,0,7,1,2
357030,622.5,4,7,1,144
357030,578.29999999702,7,4,1,142
357030,544.300000011921,3,5,1,76
357030,485.5,2,9,1,187
357030,701.79999999702,7,4,0,86
357030,578.59999999404,7,2,1,142
357030,794.29999999702,4,7,1,140
357030,768.09999999404,0,5,1,102
357030,647.300000011921,0,4,1,18
357030,1012,8,1,1,173
357030,652.29999999702,2,8,1,54
357030,665.5,3,2,1,46
357030,652.70000000298,5,8,1,172
357030,678.20000000298,9,6,1,123
357030,572.79999999702,1,9,1,187
357030,637.800000011921,2,8,1,163
357030,653.59999999404,0,2,1,41
357030,664.20000000298,9,6,1,130
357030,593.100000008941,3,7,1,143
357030,1041.39999999106,1,7,1,24
357030,640.40000000596,8,6,1,163
357030,534.90000000596,2,5,1,105
357030,881.70000000298,0,1,1,2
357030,757.79999999702,1,0,1,31
357030,679,5,6,1,122
357030,595.399999991059,0,6,1,130
357030,577.20000000298,8,3,1,70
357030,604.09999999404,8,1,1,172
357030,731.800000011921,1,4,1,81
357030,632,3,8,1,70
357030,628.20000000298,1,8,1,22
357030,728.899999991059,6,5,1,101
357030,1002,5,4,1,101
357030,636.899999991059,6,9,1,199
357030,673.59999999404,1,8,1,172
357030,633.70000000298,3,9,1,70
357030,527.09999999404,4,6,1,130
357030,490.59999999404,3,9,1,187
357030,665.600000008941,8,4,1,87
357030,1004.80000001192,4,3,1,63
357030,602.09999999404,8,4,1,161
357030,717.20000000298,1,5,1,31
357030,688.5,5,4,1,85
357030,679.20000000298,8,7,1,172
357030,563.90000000596,8,1,1,163
357030,649.29999999702,9,4,1,191
190730,1079.5,6,0,1,120
190730,1480.90000000037,3,8,1,172
190730,910.699999999255,5,9,1,187
190730,814.900000000373,1,6,1,31
190730,833.39999999851,1,3,1,22
190730,1175.60000000149,1,2,1,44
190730,1137,1,3,1,25
190730,920.39999999851,8,2,1,163
190730,1218.89999999851,6,3,1,123
190730,1375.19999999925,3,8,1,63
190730,1249.40000000037,6,2,1,54
190730,725.5,3,7,1,68
190730,1537.89999999851,7,6,1,120
190730,1119.29999999888,4,1,1,81
190730,828.400000000373,9,1,1,187
190730,823.199999999255,0,2,1,0
190730,1006.59999999963,5,0,1,102
190730,879,2,9,1,180
190730,987.099999999627,4,7,1,81
190730,944.300000000745,3,7,1,70
190730,749.5,8,6,1,172
190730,882,1,7,1,31
190730,762.200000001118,0,4,1,2
190730,1564.60000000149,2,3,1,46
190730,1473.5,7,2,1,54
190730,NaN,4,5,NaN,86
190730,1187.90000000037,0,8,1,172
190730,1175.30000000075,3,0,1,18
190730,920.599999999627,1,6,1,122
190730,767.800000000745,8,7,1,161
190730,908.5,4,6,1,122
190730,753.200000001118,1,6,1,24
190730,1115.09999999963,5,6,1,120
190730,1284,2,7,1,143
